scope,overall_target_effect_pp,ci_lower_pp,ci_upper_pp,run_danger_rate,run_benefit_rate,dangerous_step_share,beneficial_step_share
balanced_cohort,7.21,3.92,10.67,0.0850,0.1571,0.1517,0.2350
natural_prevalence,-0.52,-5.11,3.97,0.0984,0.0933,0.1752,0.1761
