group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,297,3.25,0.79,5.72
overall,placebo_own_effect,297,4.18,1.23,7.13
overall,placebo_legacy_effect,297,1.37,-1.49,4.24
overall,did_semantic_effect,297,-0.93,-4.88,3.06
overall,legacy_semantic_effect,297,1.88,-1.09,4.77
rating-1_anchor,target_effect,100,7.00,2.67,11.67
rating-1_anchor,placebo_own_effect,100,8.00,3.08,13.08
rating-1_anchor,placebo_legacy_effect,100,5.25,-0.50,11.25
rating-1_anchor,did_semantic_effect,100,-1.00,-7.83,6.25
rating-1_anchor,legacy_semantic_effect,100,1.75,-3.92,7.25
rating0_stable,target_effect,40,2.50,0.00,5.83
rating0_stable,placebo_own_effect,40,1.25,-2.50,5.42
rating0_stable,placebo_legacy_effect,40,1.04,-1.25,3.75
rating0_stable,did_semantic_effect,40,1.25,-4.58,7.50
rating0_stable,legacy_semantic_effect,40,1.46,-1.67,4.79
rating0_other,target_effect,60,-1.11,-7.22,5.00
rating0_other,placebo_own_effect,60,-0.42,-7.22,6.39
rating0_other,placebo_legacy_effect,60,0.14,-5.42,5.97
rating0_other,did_semantic_effect,60,-0.69,-11.11,9.72
rating0_other,legacy_semantic_effect,60,-1.25,-9.44,6.94
rating1_stable,target_effect,40,1.67,-5.00,8.33
rating1_stable,placebo_own_effect,40,8.33,1.67,15.83
rating1_stable,placebo_legacy_effect,40,0.21,-5.62,6.04
rating1_stable,did_semantic_effect,40,-6.67,-16.67,3.33
rating1_stable,legacy_semantic_effect,40,1.46,-2.50,5.42
rating1_other,target_effect,57,2.92,-2.92,8.77
rating1_other,placebo_own_effect,57,1.46,-6.73,9.50
rating1_other,placebo_legacy_effect,57,-3.07,-11.11,5.12
rating1_other,did_semantic_effect,57,1.46,-8.48,11.55
rating1_other,legacy_semantic_effect,57,5.99,-1.61,13.74
