group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,204,12.09,5.39,18.79
overall,placebo_own_effect,204,-2.70,-7.39,1.96
overall,placebo_legacy_effect,204,3.39,-2.00,8.62
overall,did_semantic_effect,204,14.79,6.00,23.77
overall,legacy_semantic_effect,204,8.70,2.57,14.83
first_error|gsm8k,target_effect,23,57.97,34.78,79.71
first_error|gsm8k,placebo_own_effect,23,-19.93,-40.58,1.09
first_error|gsm8k,placebo_legacy_effect,23,17.03,2.17,33.33
first_error|gsm8k,did_semantic_effect,23,77.90,39.13,113.41
first_error|gsm8k,legacy_semantic_effect,23,40.94,17.39,62.68
first_error,target_effect,105,26.98,17.46,36.83
first_error,placebo_own_effect,105,-8.41,-15.87,-1.43
first_error,placebo_legacy_effect,105,6.59,-1.11,14.05
first_error,did_semantic_effect,105,35.40,22.78,48.89
first_error,legacy_semantic_effect,105,20.40,11.98,29.21
gsm8k,target_effect,42,27.78,9.52,45.24
gsm8k,placebo_own_effect,42,-9.52,-21.63,1.79
gsm8k,placebo_legacy_effect,42,10.32,0.00,21.43
gsm8k,did_semantic_effect,42,37.30,12.70,62.30
gsm8k,legacy_semantic_effect,42,17.46,0.60,33.93
locally_correct|locally_correct_all|gsm8k,target_effect,17,-9.80,-29.41,9.80
locally_correct|locally_correct_all|gsm8k,placebo_own_effect,17,1.47,-4.41,8.82
locally_correct|locally_correct_all|gsm8k,placebo_legacy_effect,17,6.37,-4.90,21.57
locally_correct|locally_correct_all|gsm8k,did_semantic_effect,17,-11.27,-29.90,4.90
locally_correct|locally_correct_all|gsm8k,legacy_semantic_effect,17,-16.18,-33.33,-1.47
locally_correct,target_effect,65,-5.64,-15.38,4.10
locally_correct,placebo_own_effect,65,-1.28,-7.44,4.49
locally_correct,placebo_legacy_effect,65,-0.26,-8.97,8.21
locally_correct,did_semantic_effect,65,-4.36,-16.41,7.44
locally_correct,legacy_semantic_effect,65,-5.38,-15.13,4.23
locally_correct_all,target_effect,99,-3.70,-12.12,5.05
locally_correct_all,placebo_own_effect,99,3.37,-1.85,8.75
locally_correct_all,placebo_legacy_effect,99,0.00,-7.49,7.24
locally_correct_all,did_semantic_effect,99,-7.07,-17.17,2.95
locally_correct_all,legacy_semantic_effect,99,-3.70,-11.20,4.04
first_error|math,target_effect,28,35.71,16.67,54.76
first_error|math,placebo_own_effect,28,-9.52,-22.62,1.19
first_error|math,placebo_legacy_effect,28,7.14,-5.95,20.25
first_error|math,did_semantic_effect,28,45.24,21.43,71.43
first_error|math,legacy_semantic_effect,28,28.57,13.10,44.64
math,target_effect,55,13.33,-0.61,27.88
math,placebo_own_effect,55,-7.73,-16.52,-0.15
