candidate_set,candidates,accept_rate,naive_mean_delta_pp,rollback_mean_delta_pp,naive_harmed_step_share,rollback_harmed_step_share,extra_generations_per_candidate
rating_neg1,200,0.530,21.50,22.33,0.070,0.020,1
neg1_x_harmful,160,0.500,20.21,21.88,0.081,0.019,1
all_steps,600,0.633,7.22,11.50,0.122,0.030,1
