split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
0,natural_prevalence,prm:qwen25_math_prm_7b,3,0.035,18.50,11,50.00,0.000,0.196,0.000,0.000,0.075,0.000
0,natural_prevalence,prm:qwen25_math_prm_7b,5,0.420,-4.81,132,8.64,0.113,0.136,0.000,0.109,0.046,0.063
0,natural_prevalence,predictor_D,1,0.000,,0,,,,,,,
0,natural_prevalence,predictor_D,3,0.105,-1.76,33,27.27,0.061,0.138,0.000,0.030,0.050,0.000
0,natural_prevalence,predictor_D,5,0.909,-4.47,285,-0.95,0.205,0.126,0.079,0.134,0.039,0.095
0,natural_prevalence,predictor_E,1,0.699,-0.48,220,5.69,0.184,0.160,0.024,0.148,0.051,0.097
0,natural_prevalence,predictor_E,3,0.839,-2.21,263,2.71,0.192,0.139,0.054,0.128,0.043,0.085
0,natural_prevalence,predictor_E,5,0.944,-3.40,296,0.71,0.195,0.130,0.065,0.128,0.040,0.087
1,balanced_cohort,random,1,0.997,4.28,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,random,3,0.997,4.28,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,random,5,0.997,4.28,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,rating_first,1,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,rating_first,3,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,rating_first,5,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,harmful_first,1,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,harmful_first,3,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
