policy,policy_label,n_steps,coverage,net_accuracy_change_pp,avg_selected_effect_pp,run_danger_rate,danger_rate_among_correct,run_benefit_rate,step_danger_rate
rating_neg1,Rating = -1 threshold,80,0.1333,2.5417,19.0625,0.0500,0.1311,0.2406,0.1000
rating_neg1,Rating = -1 threshold,90,0.1500,3.5000,23.3333,0.0444,0.1270,0.2778,0.0889
rating_neg1,Rating = -1 threshold,100,0.1667,3.8333,23.0000,0.0400,0.1159,0.2700,0.0800
rating_neg1,Rating = -1 threshold,110,0.1833,4.0833,22.2727,0.0364,0.1081,0.2591,0.0727
rating_neg1,Rating = -1 threshold,120,0.2000,4.4167,22.0833,0.0333,0.1046,0.2542,0.0667
rating_neg1,Rating = -1 threshold,130,0.2167,4.3333,20.0000,0.0346,0.1098,0.2346,0.0692
rating_neg1,Rating = -1 threshold,140,0.2333,4.7500,20.3571,0.0339,0.1118,0.2375,0.0714
rating_neg1,Rating = -1 threshold,150,0.2500,5.3750,21.5000,0.0317,0.1044,0.2467,0.0667
rating_neg1,Rating = -1 threshold,160,0.2667,5.4167,20.3125,0.0375,0.1218,0.2406,0.0875
rating_neg1,Rating = -1 threshold,170,0.2833,5.5833,19.7059,0.0353,0.1106,0.2324,0.0824
rating_neg1,Rating = -1 threshold,180,0.3000,6.0833,20.2778,0.0431,0.1342,0.2458,0.1000
rating_neg1,Rating = -1 threshold,190,0.3167,6.7500,21.3158,0.0461,0.1440,0.2592,0.1000
rating_neg1,Rating = -1 threshold,200,0.3333,7.3333,22.0000,0.0462,0.1486,0.2662,0.1000
rating_neg1,Rating = -1 threshold,210,0.3500,7.5833,21.6667,0.0464,0.1393,0.2631,0.1000
rating_neg1,Rating = -1 threshold,220,0.3667,7.5000,20.4545,0.0523,0.1484,0.2568,0.1091
rating_neg1,Rating = -1 threshold,230,0.3833,7.3333,19.1304,0.0576,0.1592,0.2489,0.1174
rating_neg1,Rating = -1 threshold,240,0.4000,7.6250,19.0625,0.0552,0.1497,0.2458,0.1125
rating_neg1,Rating = -1 threshold,250,0.4167,8.0833,19.4000,0.0550,0.1478,0.2490,0.1120
rating_neg1,Rating = -1 threshold,260,0.4333,8.2083,18.9423,0.0558,0.1503,0.2452,0.1115
rating_neg1,Rating = -1 threshold,270,0.4500,8.0000,17.7778,0.0630,0.1646,0.2407,0.1222
rating_neg1,Rating = -1 threshold,280,0.4667,8.0000,17.1429,0.0652,0.1648,0.2366,0.1250
rating_neg1,Rating = -1 threshold,290,0.4833,8.0417,16.6379,0.0655,0.1645,0.2319,0.1241
rating_neg1,Rating = -1 threshold,300,0.5000,7.7500,15.5000,0.0692,0.1680,0.2242,0.1267
rating_neg1,Rating = -1 threshold,310,0.5167,7.8750,15.2419,0.0677,0.1597,0.2202,0.1258
rating_neg1,Rating = -1 threshold,320,0.5333,7.8750,14.7656,0.0688,0.1597,0.2164,0.1313
rating_neg1,Rating = -1 threshold,330,0.5500,7.5417,13.7121,0.0758,0.1727,0.2129,0.1364
rating_neg1,Rating = -1 threshold,340,0.5667,7.5417,13.3088,0.0750,0.1686,0.2081,0.1382
rating_neg1,Rating = -1 threshold,350,0.5833,7.4583,12.7857,0.0750,0.1646,0.2029,0.1371
rating_neg1,Rating = -1 threshold,360,0.6000,7.3750,12.2917,0.0757,0.1642,0.1986,0.1389
rating_neg1,Rating = -1 threshold,370,0.6167,7.5417,12.2297,0.0736,0.1566,0.1959,0.1351
rating_neg1,Rating = -1 threshold,380,0.6333,7.7083,12.1711,0.0737,0.1553,0.1954,0.1368
rating_neg1,Rating = -1 threshold,390,0.6500,7.3750,11.3462,0.0782,0.1625,0.1917,0.1410
rating_neg1,Rating = -1 threshold,400,0.6667,7.4167,11.1250,0.0788,0.1634,0.1900,0.1400
rating_neg1,Rating = -1 threshold,410,0.6833,7.4583,10.9146,0.0768,0.1563,0.1860,0.1366
rating_neg1,Rating = -1 threshold,420,0.7000,7.2500,10.3571,0.0780,0.1561,0.1815,0.1381
rating_neg1,Rating = -1 threshold,430,0.7167,7.4167,10.3488,0.0767,0.1517,0.1802,0.1372
rating_neg1,Rating = -1 threshold,440,0.7333,7.4167,10.1136,0.0767,0.1502,0.1778,0.1364
rating_neg1,Rating = -1 threshold,450,0.7500,7.4167,9.8889,0.0783,0.1513,0.1772,0.1422
rating_neg1,Rating = -1 threshold,460,0.7667,7.3750,9.6196,0.0810,0.1557,0.1772,0.1435
rating_neg1,Rating = -1 threshold,470,0.7833,7.2917,9.3085,0.0830,0.1585,0.1761,0.1447
rating_neg1,Rating = -1 threshold,480,0.8000,7.3333,9.1667,0.0844,0.1610,0.1760,0.1458
rating_neg1,Rating = -1 threshold,490,0.8167,7.4167,9.0816,0.0852,0.1628,0.1760,0.1469
rating_neg1,Rating = -1 threshold,500,0.8333,7.5000,9.0000,0.0840,0.1617,0.1740,0.1460
rating_neg1,Rating = -1 threshold,510,0.8500,7.2083,8.4804,0.0863,0.1634,0.1711,0.1490
rating_neg1,Rating = -1 threshold,520,0.8667,7.2917,8.4135,0.0870,0.1639,0.1712,0.1500
rating_neg1,Rating = -1 threshold,530,0.8833,7.4167,8.3962,0.0854,0.1596,0.1693,0.1472
rating_neg1,Rating = -1 threshold,540,0.9000,7.5000,8.3333,0.0856,0.1585,0.1690,0.1481
rating_neg1,Rating = -1 threshold,550,0.9167,7.5417,8.2273,0.0855,0.1569,0.1677,0.1491
rating_neg1,Rating = -1 threshold,560,0.9333,7.4167,7.9464,0.0862,0.1564,0.1656,0.1500
rating_neg1,Rating = -1 threshold,570,0.9500,7.5833,7.9825,0.0851,0.1542,0.1649,0.1491
rating_neg1,Rating = -1 threshold,580,0.9667,7.3750,7.6293,0.0862,0.1550,0.1625,0.1517
rating_neg1,Rating = -1 threshold,590,0.9833,7.3750,7.5000,0.0847,0.1517,0.1597,0.1492
rating_neg1,Rating = -1 threshold,600,1.0000,7.2083,7.2083,0.0850,0.1508,0.1571,0.1517
harmful_only,Harmful-only (human-calibrated),10,0.0167,0.2917,17.5000,0.0250,0.0769,0.2000,0.1000
harmful_only,Harmful-only (human-calibrated),20,0.0333,0.7083,21.2500,0.0375,0.1111,0.2500,0.1000
harmful_only,Harmful-only (human-calibrated),30,0.0500,0.7917,15.8333,0.0583,0.1429,0.2167,0.1000
harmful_only,Harmful-only (human-calibrated),40,0.0667,1.0833,16.2500,0.0500,0.1159,0.2125,0.1000
harmful_only,Harmful-only (human-calibrated),50,0.0833,1.2917,15.5000,0.0400,0.0920,0.1950,0.0800
harmful_only,Harmful-only (human-calibrated),60,0.1000,1.3333,13.3333,0.0500,0.1224,0.1833,0.1000
harmful_only,Harmful-only (human-calibrated),70,0.1167,1.6250,13.9286,0.0500,0.1261,0.1893,0.1143
harmful_only,Harmful-only (human-calibrated),80,0.1333,1.8750,14.0625,0.0563,0.1463,0.1969,0.1125
harmful_only,Harmful-only (human-calibrated),90,0.1500,2.7083,18.0556,0.0500,0.1417,0.2306,0.1000
harmful_only,Harmful-only (human-calibrated),100,0.1667,3.1250,18.7500,0.0450,0.1314,0.2325,0.0900
harmful_only,Harmful-only (human-calibrated),110,0.1833,3.2500,17.7273,0.0432,0.1267,0.2205,0.0909
harmful_only,Harmful-only (human-calibrated),120,0.2000,3.5000,17.5000,0.0437,0.1329,0.2188,0.0917
harmful_only,Harmful-only (human-calibrated),130,0.2167,3.5000,16.1538,0.0423,0.1294,0.2038,0.0923
harmful_only,Harmful-only (human-calibrated),140,0.2333,4.0417,17.3214,0.0393,0.1222,0.2125,0.0857
harmful_only,Harmful-only (human-calibrated),150,0.2500,4.7500,19.0000,0.0367,0.1146,0.2267,0.0800
harmful_only,Harmful-only (human-calibrated),160,0.2667,4.6250,17.3438,0.0437,0.1290,0.2172,0.1000
harmful_only,Harmful-only (human-calibrated),170,0.2833,4.8333,17.0588,0.0426,0.1239,0.2132,0.1000
harmful_only,Harmful-only (human-calibrated),180,0.3000,5.2917,17.6389,0.0458,0.1336,0.2222,0.1000
harmful_only,Harmful-only (human-calibrated),190,0.3167,5.7500,18.1579,0.0539,0.1583,0.2355,0.1053
harmful_only,Harmful-only (human-calibrated),200,0.3333,6.2500,18.7500,0.0537,0.1623,0.2412,0.1050
harmful_only,Harmful-only (human-calibrated),203,0.3383,6.0833,17.9803,0.0579,0.1722,0.2377,0.1084
harmful_only,Harmful-only (human-calibrated),210,0.3500,6.1250,17.5000,0.0583,0.1667,0.2333,0.1095
harmful_only,Harmful-only (human-calibrated),220,0.3667,6.7083,18.2955,0.0557,0.1531,0.2386,0.1045
harmful_only,Harmful-only (human-calibrated),230,0.3833,6.6667,17.3913,0.0565,0.1473,0.2304,0.1043
harmful_only,Harmful-only (human-calibrated),240,0.4000,6.7083,16.7708,0.0563,0.1403,0.2240,0.1042
harmful_only,Harmful-only (human-calibrated),250,0.4167,6.7917,16.3000,0.0600,0.1463,0.2230,0.1120
harmful_only,Harmful-only (human-calibrated),260,0.4333,6.9583,16.0577,0.0615,0.1475,0.2221,0.1115
harmful_only,Harmful-only (human-calibrated),270,0.4500,6.8750,15.2778,0.0639,0.1497,0.2167,0.1148
harmful_only,Harmful-only (human-calibrated),280,0.4667,7.0000,15.0000,0.0616,0.1408,0.2116,0.1107
harmful_only,Harmful-only (human-calibrated),290,0.4833,7.6667,15.8621,0.0595,0.1342,0.2181,0.1069
harmful_only,Harmful-only (human-calibrated),300,0.5000,7.8333,15.6667,0.0617,0.1383,0.2183,0.1133
harmful_only,Harmful-only (human-calibrated),310,0.5167,7.8333,15.1613,0.0621,0.1368,0.2137,0.1161
harmful_only,Harmful-only (human-calibrated),320,0.5333,7.9167,14.8438,0.0641,0.1395,0.2125,0.1219
harmful_only,Harmful-only (human-calibrated),330,0.5500,7.3750,13.4091,0.0727,0.1569,0.2068,0.1303
harmful_only,Harmful-only (human-calibrated),340,0.5667,7.5000,13.2353,0.0757,0.1625,0.2081,0.1324
harmful_only,Harmful-only (human-calibrated),350,0.5833,7.2083,12.3571,0.0793,0.1672,0.2029,0.1371
harmful_only,Harmful-only (human-calibrated),360,0.6000,7.5417,12.5694,0.0771,0.1606,0.2028,0.1333
harmful_only,Harmful-only (human-calibrated),370,0.6167,7.6250,12.3649,0.0770,0.1597,0.2007,0.1324
harmful_only,Harmful-only (human-calibrated),380,0.6333,7.3750,11.6447,0.0809,0.1662,0.1974,0.1368
harmful_only,Harmful-only (human-calibrated),390,0.6500,7.2083,11.0897,0.0840,0.1733,0.1949,0.1385
harmful_only,Harmful-only (human-calibrated),400,0.6667,7.3333,11.0000,0.0819,0.1671,0.1919,0.1350
harmful_only,Harmful-only (human-calibrated),410,0.6833,7.3333,10.7317,0.0817,0.1656,0.1890,0.1390
harmful_only,Harmful-only (human-calibrated),420,0.7000,7.5417,10.7738,0.0815,0.1661,0.1893,0.1405
harmful_only,Harmful-only (human-calibrated),430,0.7167,7.4167,10.3488,0.0820,0.1649,0.1855,0.1419
harmful_only,Harmful-only (human-calibrated),440,0.7333,6.9167,9.4318,0.0869,0.1725,0.1812,0.1455
harmful_only,Harmful-only (human-calibrated),450,0.7500,6.9167,9.2222,0.0889,0.1739,0.1811,0.1467
harmful_only,Harmful-only (human-calibrated),460,0.7667,7.0417,9.1848,0.0886,0.1727,0.1804,0.1478
harmful_only,Harmful-only (human-calibrated),470,0.7833,7.1250,9.0957,0.0867,0.1687,0.1777,0.1447
harmful_only,Harmful-only (human-calibrated),480,0.8000,7.0833,8.8542,0.0859,0.1647,0.1745,0.1458
harmful_only,Harmful-only (human-calibrated),490,0.8167,7.2083,8.8265,0.0857,0.1636,0.1740,0.1449
harmful_only,Harmful-only (human-calibrated),500,0.8333,7.0833,8.5000,0.0855,0.1612,0.1705,0.1460
harmful_only,Harmful-only (human-calibrated),510,0.8500,7.1667,8.4314,0.0848,0.1587,0.1691,0.1451
harmful_only,Harmful-only (human-calibrated),520,0.8667,7.0833,8.1731,0.0856,0.1588,0.1673,0.1481
harmful_only,Harmful-only (human-calibrated),530,0.8833,7.0000,7.9245,0.0858,0.1578,0.1651,0.1472
harmful_only,Harmful-only (human-calibrated),540,0.9000,7.2917,8.1019,0.0847,0.1552,0.1657,0.1463
