regime,policy,budget_pp,max_steps_certified,coverage_of_traffic,net_per_deletion_pp,net_lcb_normal_pp,net_lcb_boot_pp,harmed_share_obs,harmed_share_null_floor,harmed_share_excess,harmed_share_severe,severe_null_floor,severe_excess
natural_prevalence,prm:llama31_8b_prm_deepseek,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,prm:math_shepherd_mistral_7b,1,200,0.2177,9.63,2.98,3.01,0.109,0.121,0.000,0.038,0.038,0.001
natural_prevalence,prm:math_shepherd_mistral_7b,3,260,0.3131,5.20,-2.46,-2.83,0.170,0.136,0.035,0.120,0.045,0.075
natural_prevalence,prm:math_shepherd_mistral_7b,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,prm:qwen25_math_prm_7b,1,20,0.0002,51.25,35.59,35.53,0.000,0.215,0.000,0.000,0.081,0.000
natural_prevalence,prm:qwen25_math_prm_7b,3,250,0.1630,8.23,-2.10,-1.84,0.111,0.128,0.000,0.075,0.042,0.033
natural_prevalence,prm:qwen25_math_prm_7b,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,predictor_D,1,420,0.6609,4.16,-0.81,-0.79,0.128,0.108,0.020,0.077,0.034,0.044
natural_prevalence,predictor_D,3,540,0.8890,1.10,-2.90,-2.89,0.148,0.104,0.044,0.098,0.032,0.066
natural_prevalence,predictor_D,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,predictor_E,1,430,0.6847,4.47,-0.23,-0.10,0.116,0.105,0.011,0.081,0.033,0.048
natural_prevalence,predictor_E,3,490,0.7972,1.49,-2.86,-2.66,0.138,0.103,0.035,0.096,0.032,0.063
natural_prevalence,predictor_E,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,oracle,1,580,0.9643,3.17,-0.23,-0.16,0.139,0.102,0.038,0.083,0.031,0.052
natural_prevalence,oracle,3,580,0.9643,3.17,-0.23,-0.16,0.139,0.102,0.038,0.083,0.031,0.052
natural_prevalence,oracle,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
