task,model,model_label,metric,estimate,ci_lower,ci_upper,n_runs,n_positive,base_rate,cv_unit,folds,bootstrap_replicates
benefit,B,Type-only,ece_10bin,0.135243,0.106162,0.176435,1047,377,0.360076,problem_id,5,5000
benefit,B,Type-only,specificity_at_0.5,0.338314,0.246435,0.457480,1047,377,0.360076,problem_id,5,5000
benefit,B,Type-only,coverage_at_90pct_precision,0.010590,0.003015,0.018165,1047,377,0.360076,problem_id,5,5000
benefit,B,Type-only,coverage_at_95pct_precision,0.010590,0.003015,0.018165,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,auroc,0.484483,0.444153,0.535942,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,auprc,0.380317,0.324491,0.432521,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,brier,0.255174,0.248880,0.260355,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,ece_10bin,0.130130,0.101698,0.174628,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,specificity_at_0.5,0.396625,0.315363,0.467514,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,coverage_at_90pct_precision,0.006862,0.000000,0.018743,1047,377,0.360076,problem_id,5,5000
benefit,C,Rating + Type,coverage_at_95pct_precision,0.006862,0.000000,0.018743,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,auroc,0.566200,0.505179,0.609486,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,auprc,0.412016,0.362103,0.461929,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,brier,0.251851,0.242698,0.266481,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,ece_10bin,0.169286,0.141029,0.201224,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,specificity_at_0.5,0.586147,0.523024,0.669333,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,coverage_at_90pct_precision,0.001927,0.000000,0.003937,1047,377,0.360076,problem_id,5,5000
benefit,D,Static context,coverage_at_95pct_precision,0.001927,0.000000,0.003937,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),auroc,0.598865,0.574491,0.618109,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),auprc,0.477508,0.410010,0.546798,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),brier,0.245961,0.237549,0.257055,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),ece_10bin,0.175891,0.145971,0.205811,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),specificity_at_0.5,0.637307,0.540020,0.734594,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),coverage_at_90pct_precision,0.019148,0.004980,0.039920,1047,377,0.360076,problem_id,5,5000
benefit,E,Trajectory state (oracle/extra-compute),coverage_at_95pct_precision,0.010853,0.004020,0.016727,1047,377,0.360076,problem_id,5,5000
benefit,C-A,AUPRC delta: C minus A,delta_auprc,-0.051572,-0.115968,0.030316,1047,377,0.360076,problem_id,5,5000
benefit,D-C,AUPRC delta: D minus C,delta_auprc,0.031698,-0.013914,0.067876,1047,377,0.360076,problem_id,5,5000
benefit,E-D,AUPRC delta: E minus D,delta_auprc,0.065492,0.032631,0.091362,1047,377,0.360076,problem_id,5,5000
benefit,E-A,AUPRC delta: E minus A,delta_auprc,0.045618,0.001181,0.082194,1047,377,0.360076,problem_id,5,5000
