condition,n,agreement,judge_correct_rate,human_correct_rate,bias_pp
control,90,0.8333333333333334,0.4666666666666667,0.43333333333333335,3.3333333333333326
placebo_delete,23,1.0,0.34782608695652173,0.34782608695652173,0.0
target_delete,87,0.896551724137931,0.5172413793103449,0.4827586206896552,3.448275862068967
