metric,eligible_estimate,skipped_estimate,eligible_minus_skipped,ci_lower,ci_upper,eligible_steps,skipped_steps,bootstrap_replicates
control_accuracy,0.552838,0.626404,-0.073567,-0.175092,0.031740,511,89,5000
target_accuracy,0.632583,0.654494,-0.021911,-0.123550,0.079135,511,89,5000
raw_target_effect,0.079746,0.028090,0.051656,-0.037743,0.137680,511,89,5000
harm_rate,0.154867,0.130045,0.024822,-0.057772,0.104271,511,89,5000
recovery_rate,0.369803,0.293233,0.076570,-0.083208,0.224823,511,89,5000
mean_token_change,-22.146282,39.637640,-61.783922,-125.692672,-0.982418,511,89,5000
completion_fraction,0.933219,0.911517,0.021702,-0.022626,0.070742,511,89,5000
