step_id,group,c0_control_rate,c1_target_rate,c2_placebo_rate,c2_placebo_runs,c3_paraphrase_rate,c3_paraphrase_runs,c1_vs_c2_target_specific,c3_vs_c0_surface_form,c1_vs_c3_semantic_removal,c1_vs_c0_raw
prm-9d7450aa50a1cc3f,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9db27c5e8855d8c2,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9f3753744da09c38,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a081faca165fd59b,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a15fb929dff59e97,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a304fbad5368565d,negative_anchor,0.25,1.0,0.75,4,0.0,4,0.25,-0.25,1.0,0.75
prm-a8f0f0d569ae9708,negative_anchor,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-ac1b5da6715754b0,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-afff103ac71bacae,negative_anchor,0.0,1.0,0.0,4,,,1.0,,,1.0
prm-b46df73b9c7f1dd9,negative_anchor,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-b78ab37efb3ac6fe,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-b8457436293d4e60,negative_anchor,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-b93ffe4952ee0425,negative_anchor,1.0,1.0,0.0,4,1.0,4,1.0,0.0,0.0,0.0
prm-bcf33e68e625980e,negative_anchor,0.0,0.0,0.0,4,0.25,4,0.0,0.25,-0.25,0.0
prm-bf49cda9c1b58b99,negative_anchor,1.0,1.0,1.0,4,0.25,4,0.0,-0.75,0.75,0.0
prm-bf79591055298bcd,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-c95d41ec650cb773,negative_anchor,1.0,1.0,0.0,4,0.25,4,1.0,-0.75,0.75,0.0
prm-ce7da7c55243f250,negative_anchor,0.25,0.0,0.0,4,0.25,4,0.0,0.0,-0.25,-0.25
prm-d22d355799e3baaf,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-d4c3a3c1d1cb0d1f,negative_anchor,1.0,1.0,0.0,4,0.75,4,1.0,-0.25,0.25,0.0
prm-d7fbf32a29279602,negative_anchor,0.0,0.0,0.0,4,,,0.0,,,0.0
prm-dba05e0cd479b592,negative_anchor,0.0,0.5,0.0,4,0.0,4,0.5,0.0,0.5,0.5
prm-dbb76c0284dc2629,negative_anchor,0.0,0.75,0.0,4,0.75,4,0.75,0.75,0.0,0.75
prm-dd448bdba8557edf,negative_anchor,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-decee9499f5fb0d7,negative_anchor,0.0,1.0,0.75,4,0.0,4,0.25,0.0,1.0,1.0
prm-e5218a9b5d49ef04,negative_anchor,0.0,0.75,0.75,4,0.0,4,0.0,0.0,0.75,0.75
prm-edfe3301d75e7278,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f17b27e710e8f147,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f1c09b6fd89155cf,negative_anchor,0.5,1.0,1.0,4,0.0,4,0.0,-0.5,1.0,0.5
prm-f2aca719a99dc3e9,negative_anchor,0.0,0.0,0.75,4,0.0,4,-0.75,0.0,0.0,0.0
prm-f2ca2a7324883c6d,negative_anchor,0.0,0.0,0.5,4,0.0,4,-0.5,0.0,0.0,0.0
prm-f59567dc389816f6,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f65a99197bf57f66,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f7aa110cdcd4de1b,negative_anchor,1.0,0.75,1.0,4,1.0,4,-0.25,0.0,-0.25,-0.25
prm-01441d1b7d95366c,neutral_comparison,0.0,1.0,0.0,4,1.0,4,1.0,1.0,0.0,1.0
prm-0219e874907d9144,neutral_comparison,0.0,0.0,0.25,4,0.0,4,-0.25,0.0,0.0,0.0
prm-0835351a60d3a191,neutral_comparison,0.5,0.0,0.0,4,0.25,4,0.0,-0.25,-0.25,-0.5
prm-090c92a536a6f7cf,neutral_comparison,0.0,0.25,0.0,4,0.0,4,0.25,0.0,0.25,0.25
prm-0b2c173096bce7b5,neutral_comparison,0.0,0.0,0.5,4,0.5,4,-0.5,0.5,-0.5,0.0
prm-0cbc0287aab226af,neutral_comparison,0.5,0.0,0.5,4,0.25,4,-0.5,-0.25,-0.25,-0.5
prm-1032a7112c293158,neutral_comparison,0.0,0.0,0.0,4,0.25,4,0.0,0.25,-0.25,0.0
prm-11c64fcd9adf9a8d,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-12bc5c8b425e5765,neutral_comparison,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-1988846108e0f682,neutral_comparison,0.0,0.0,0.0,3,,,0.0,,,0.0
prm-1989a099acb06f53,neutral_comparison,0.25,1.0,1.0,4,,,0.0,,,0.75
prm-1fdd16bd5ee2ebb1,neutral_comparison,0.0,1.0,0.5,4,,,0.5,,,1.0
prm-27543090e207be07,neutral_comparison,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-297fe2bd5193998f,neutral_comparison,0.0,0.0,0.25,4,0.5,4,-0.25,0.5,-0.5,0.0
prm-2d19813fccf4dac9,neutral_comparison,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-2d2be0a20e1f55eb,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-2d92ce0491f2f56a,neutral_comparison,0.75,1.0,0.5,4,1.0,4,0.5,0.25,0.0,0.25
prm-2e5c19fc0f94ad0f,neutral_comparison,0.5,1.0,1.0,4,1.0,4,0.0,0.5,0.0,0.5
prm-315d6ba30914293a,neutral_comparison,0.0,0.0,0.25,4,1.0,4,-0.25,1.0,-1.0,0.0
prm-321715581e0e716b,neutral_comparison,0.25,0.0,0.5,4,0.75,4,-0.5,0.5,-0.75,-0.25
prm-378914f040c48223,neutral_comparison,0.0,0.75,0.0,4,0.0,4,0.75,0.0,0.75,0.75
prm-42aa85293ce04d6c,neutral_comparison,0.0,0.0,1.0,2,0.0,4,-1.0,0.0,0.0,0.0
prm-45906351f0903519,neutral_comparison,0.0,0.0,0.75,4,0.0,4,-0.75,0.0,0.0,0.0
prm-47679397406393e0,neutral_comparison,0.75,1.0,1.0,4,1.0,4,0.0,0.25,0.0,0.25
prm-47a902d41e673ff6,neutral_comparison,0.25,0.75,0.5,4,1.0,4,0.25,0.75,-0.25,0.5
prm-4c8c15a6cba67d79,neutral_comparison,0.0,0.0,0.5,4,1.0,4,-0.5,1.0,-1.0,0.0
prm-57a23b7d9d387a2d,neutral_comparison,0.0,1.0,0.0,4,0.0,4,1.0,0.0,1.0,1.0
prm-61500888ffe32624,neutral_comparison,0.25,0.5,0.0,4,1.0,4,0.5,0.75,-0.5,0.25
prm-62cd37cf091fe105,neutral_comparison,0.75,1.0,1.0,3,0.75,4,0.0,0.0,0.25,0.25
prm-64c48353bed266ed,neutral_comparison,0.25,0.5,1.0,4,1.0,4,-0.5,0.75,-0.5,0.25
prm-666a954e3bca4a2f,neutral_comparison,0.75,0.0,0.0,4,,,0.0,,,-0.75
prm-6810d2c059913e28,neutral_comparison,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-6c647c9d900edecf,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-6c8f717ff62b444b,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-6eb49d110f10f5c9,neutral_comparison,0.0,0.25,0.25,4,0.75,4,0.0,0.75,-0.5,0.25
prm-6fb0c8f8ee2ebabd,neutral_comparison,0.75,1.0,0.5,4,1.0,4,0.5,0.25,0.0,0.25
prm-76b2b2177dea50be,neutral_comparison,0.0,0.75,0.75,4,0.0,4,0.0,0.0,0.75,0.75
prm-7805f2fb660af82c,neutral_comparison,0.0,1.0,0.0,4,1.0,4,1.0,1.0,0.0,1.0
prm-7cf98f01d85acf4d,neutral_comparison,0.5,1.0,0.75,4,1.0,4,0.25,0.5,0.0,0.5
prm-7fa27f0af15756ce,neutral_comparison,0.75,1.0,1.0,4,1.0,4,0.0,0.25,0.0,0.25
prm-8be5e8ce53ce132a,neutral_comparison,0.0,0.25,0.5,4,0.0,4,-0.25,0.0,0.25,0.25
prm-8d743a4306b744df,neutral_comparison,0.0,0.0,0.25,4,0.0,4,-0.25,0.0,0.0,0.0
prm-8eab1f56bd806ddc,neutral_comparison,0.75,1.0,0.5,4,1.0,4,0.5,0.25,0.0,0.25
prm-925200af07947f5c,neutral_comparison,0.5,0.0,0.0,4,0.75,4,0.0,0.25,-0.75,-0.5
prm-a625e035a295d2bd,neutral_comparison,0.5,1.0,0.0,4,0.0,4,1.0,-0.5,1.0,0.5
prm-ab761a525cce7441,neutral_comparison,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-ac01250021f796d9,neutral_comparison,0.0,1.0,0.75,4,0.0,4,0.25,0.0,1.0,1.0
prm-ad9e7fa994103189,neutral_comparison,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-ae250ba55293ea93,neutral_comparison,0.5,1.0,1.0,4,0.75,4,0.0,0.25,0.25,0.5
prm-b09e1aa4bb87ee7c,neutral_comparison,0.0,0.0,0.5,4,,,-0.5,,,0.0
prm-b1b1d1fed6ca6e88,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-b4172ae8c86b6f76,neutral_comparison,0.25,1.0,0.25,4,1.0,4,0.75,0.75,0.0,0.75
prm-b51944c22596b644,neutral_comparison,0.0,0.0,0.75,4,,,-0.75,,,0.0
