covariate,negative_anchor_mean,negative_anchor_sd,stable_correct_mean,stable_correct_sd,neutral_comparison_mean,neutral_comparison_sd,smd_negative_anchor_vs_stable_correct,smd_negative_anchor_vs_neutral_comparison,smd_stable_correct_vs_neutral_comparison
position_ratio,0.49,0.29,0.46,0.31,0.46,0.26,0.079,0.107,0.022
target_tokens,44.50,21.61,31.39,13.19,36.98,14.88,0.732,0.406,-0.397
prefix_tokens,553.38,177.04,533.99,186.83,561.66,204.37,0.107,-0.043,-0.141
