scope,estimand,n,original_estimate,adjudicated_substitution_estimate,change_pp,interpretation
full run table,control_correct_rate,2400,0.563750000,0.564166667,+0.041667,Direct replacement of audited outputs only.
full run table,target_delete_correct_rate,2400,0.635833333,0.635000000,-0.083333,Direct replacement of audited outputs only.
full run table,placebo_delete_correct_rate,1514,0.555482166,0.555482166,+0.000000,Direct replacement of audited outputs only.
full cohort,target_minus_control,2400,0.072083333,0.070833333,-0.125000,Paired design aggregate after replacing the 200 audited outputs.
placebo-matched cohort,target_effect,511,0.079745597,0.079256360,-0.048924,Equal-weighted step-level effect; audited outputs replaced only.
placebo-matched cohort,placebo_effect,511,-0.005707763,-0.005707763,+0.000000,Equal-weighted step-level effect; audited outputs replaced only.
placebo-matched cohort,pure_semantic_effect,511,0.085453359,0.084964123,-0.048924,Equal-weighted step-level effect; audited outputs replaced only.
